analysis_scope,condition_id,condition_label,cutoff_k,question_count,mean_retrieved_count,mean_hit_chunk_count,chunk_precision,chunk_success,gold_block_recall,chunk_ndcg,empty_rate,median_latency_ms
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,30,50,28.62,1.5,0.05,0.7,0.7,0.35033014682269104,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,35,50,28.62,1.52,0.04342857142857143,0.7,0.7,0.3521455647480646,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,40,50,28.62,1.54,0.0385,0.7,0.7,0.3534289494034963,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,45,50,28.62,1.54,0.03422222222222222,0.7,0.7,0.3534289494034963,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,50,50,28.62,1.54,0.0308,0.7,0.7,0.3534289494034963,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,55,50,28.62,1.54,0.027999999999999997,0.7,0.7,0.3534289494034963,0.0,5661.431500000001
family:features_security_maintenance_limitations,chunker-generic-sliding-window,Sliding-window chunker,60,50,28.62,1.54,0.025666666666666664,0.7,0.7,0.3534289494034963,0.0,5661.431500000001
family:facts_specifications,indexer-generic-sparse,Sparse indexer,5,50,51.92,0.24,0.04800000000000001,0.12,0.12,0.06536604126344875,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,10,50,51.92,0.42,0.042,0.28,0.28,0.1072210620232947,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,15,50,51.92,0.56,0.037333333333333336,0.34,0.34,0.1261243173149977,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,20,50,51.92,0.62,0.031,0.36,0.36,0.13313070531908824,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,25,50,51.92,0.74,0.0296,0.38,0.38,0.14627814847841908,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,30,50,51.92,0.86,0.028666666666666667,0.42,0.42,0.16260481519669426,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,35,50,51.92,0.88,0.025142857142857144,0.42,0.42,0.16505740396775606,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,40,50,51.92,0.94,0.0235,0.44,0.44,0.17301837462551972,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,45,50,51.92,1.0,0.022222222222222223,0.48,0.48,0.1820864549269032,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,50,50,51.92,1.0,0.02,0.48,0.48,0.1820864549269032,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,55,50,51.92,1.0,0.01818181818181818,0.48,0.48,0.1820864549269032,0.0,3399.2079999999996
family:facts_specifications,indexer-generic-sparse,Sparse indexer,60,50,51.92,1.06,0.017666666666666667,0.54,0.54,0.19228630899789148,0.0,3399.2079999999996
family:setup_configuration,indexer-generic-sparse,Sparse indexer,5,50,48.3,0.3,0.06,0.22,0.22,0.10886088223360188,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,10,50,48.3,0.48,0.04800000000000001,0.28,0.28,0.13594119253970993,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,15,50,48.3,0.6,0.04,0.32,0.32,0.15365071317277712,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,20,50,48.3,0.72,0.036000000000000004,0.4,0.4,0.17149113281881068,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,25,50,48.3,0.86,0.0344,0.46,0.46,0.18970824779456413,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,30,50,48.3,0.96,0.032,0.5,0.5,0.1998536998995539,0.02,3429.276
family:setup_configuration,indexer-generic-sparse,Sparse indexer,35,50,48.3,1.0,0.02857142857142857,0.5,0.5,0.20378719722721528,0.02,3429.276
