condition_id,condition_label,scope,from_k,to_k,question_count,delta_recall,recall_ci95_low,recall_ci95_high,recall_significant,delta_precision,precision_ci95_low,precision_ci95_high,precision_significant,delta_ndcg,ndcg_ci95_low,ndcg_ci95_high,ndcg_significant,recall_practical_small,recall_local_plateau,ndcg_practical_small
indexer-generic-sparse,Sparse indexer,combined,25,30,200,0.035,0.01,0.06,1,-0.0015333333333333338,-0.003133333333333334,9.999999999999946e-05,0,0.011815767882307135,0.006752052734454332,0.017411530947116113,1,0,0,0
indexer-generic-sparse,Sparse indexer,combined,30,35,200,0.005,0.0,0.015,0,-0.0022380952380952387,-0.003380952380952381,-0.001047619047619048,1,0.005710445376459899,0.0027269968785610782,0.009100379053444374,1,1,1,1
indexer-generic-sparse,Sparse indexer,combined,35,40,200,0.015,0.0,0.035,0,-0.0016785714285714277,-0.002607142857142856,-0.0006785714285714274,1,0.006146807602883466,0.002785588017642865,0.010100561405619877,1,1,1,1
indexer-generic-sparse,Sparse indexer,combined,40,45,200,0.025,0.005,0.05,1,-0.0008611111111111114,-0.0018194444444444447,0.00020833333333333308,0,0.008842166386724262,0.004486757615856255,0.013754719043339546,1,0,0,1
indexer-generic-sparse,Sparse indexer,combined,45,50,200,0.005,0.0,0.015,0,-0.0015888888888888888,-0.0022444444444444443,-0.0008555555555555555,1,0.0035128239739930112,0.0008905179677700555,0.006691296669585022,1,1,1,1
indexer-generic-sparse,Sparse indexer,combined,50,55,200,0.01,0.0,0.025,0,-0.0013000000000000008,-0.0018727272727272737,-0.0006363636363636374,1,0.0034227361992633164,0.0008688267143572001,0.0066598195495434515,1,1,1,1
indexer-generic-sparse,Sparse indexer,combined,55,60,200,0.015,0.0,0.035,0,-0.0007499999999999993,-0.0013106060606060596,-0.0001515151515151505,1,0.005649197848047665,0.0023927958713396416,0.009499188811614151,1,1,1,1
indexer-generic-sparse,Sparse indexer,en,5,10,100,0.16,0.09,0.24,1,-0.005000000000000001,-0.021,0.01,0,0.04438930914715334,0.026724204203721375,0.064354146586392,1,0,0,0
indexer-generic-sparse,Sparse indexer,en,10,15,100,0.06,0.02,0.11,1,-0.009000000000000003,-0.01566666666666667,-0.002000000000000003,1,0.018552508368834427,0.007777952247188067,0.031075870558283886,1,0,0,0
indexer-generic-sparse,Sparse indexer,en,15,20,100,0.06,0.02,0.11,1,-0.0034999999999999975,-0.007999999999999997,0.0010000000000000026,0,0.01612643399429161,0.007763251007977533,0.025883271944915368,1,0,0,0
indexer-generic-sparse,Sparse indexer,en,20,25,100,0.02,0.0,0.05,0,-0.0017000000000000012,-0.004800000000000001,0.0013999999999999985,0,0.015588809914838323,0.00783671669790293,0.02448436731461281,1,1,1,0
indexer-generic-sparse,Sparse indexer,en,25,30,100,0.04,0.01,0.08,1,-0.0018000000000000004,-0.004266666666666668,0.000799999999999999,0,0.014609771523888013,0.0070639655131933534,0.02343470893631435,1,0,0,0
indexer-generic-sparse,Sparse indexer,en,30,35,100,0.0,0.0,0.0,0,-0.0032857142857142863,-0.00480952380952381,-0.0016666666666666674,1,0.005135349711050268,0.0009385574520455126,0.00992894686767147,1,1,1,1
indexer-generic-sparse,Sparse indexer,en,35,40,100,0.02,0.0,0.05,0,-0.002714285714285713,-0.003928571428571426,-0.0013928571428571419,1,0.004607102748290086,0.0006372882143962799,0.010017493514161301,1,1,1,1
indexer-generic-sparse,Sparse indexer,en,40,45,100,0.04,0.01,0.08,1,-0.0003333333333333338,-0.0018333333333333337,0.0012499999999999996,0,0.01356920255908876,0.0064310961205546885,0.021984244689800113,1,0,0,0
indexer-generic-sparse,Sparse indexer,en,45,50,100,0.01,0.0,0.03,0,-0.0018666666666666666,-0.0028666666666666675,-0.0006666666666666668,1,0.004273154757481092,0.0,0.009644163247527596,0,1,1,1
indexer-generic-sparse,Sparse indexer,en,50,55,100,0.02,0.0,0.05,0,-0.0011636363636363647,-0.0021090909090909103,-3.63636363636375e-05,1,0.006170233234495958,0.0013505618528999912,0.012414209603776045,1,1,1,1
indexer-generic-sparse,Sparse indexer,en,55,60,100,0.01,0.0,0.03,0,-0.0009696969696969689,-0.0017727272727272722,-7.575757575757475e-05,1,0.006048956532125678,0.0016929380759878143,0.011564131791727219,1,1,1,1
indexer-generic-sparse,Sparse indexer,id,5,10,100,0.06,0.02,0.11,1,-0.002999999999999999,-0.014000000000000002,0.008,0,0.01676612529217561,0.006482565976001244,0.0286855279876057,1,0,0,0
indexer-generic-sparse,Sparse indexer,id,10,15,100,0.02,0.0,0.05,0,-0.0030000000000000005,-0.009000000000000001,0.0036666666666666657,0,0.01178217088443001,0.0035704893066324612,0.022328951307415155,1,1,1,0
